Degree_of_Shortage,Metropolitan_Indicator_Code,Metropolitan_Indicator_Desc,Percent_Pop_Below_Poverty,Geography_ID,County_Name,State_Name
,M,Metropolitan,,POINT,Berkeley,West Virginia
,N,Non-Metropolitan,,POINT,Marion,West Virginia
,N,Non-Metropolitan,,POINT,Williams,North Dakota
,N,Non-Metropolitan,,POINT,Not Determined,North Dakota
,M,Metropolitan,,POINT,Cass,North Dakota
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,New York
,M,Metropolitan,,POINT,Not Determined,Nebraska
,M,Metropolitan,,POINT,St. Louis City,Missouri
,0,Unknown,,POINT,Mercer,Kentucky
,M,Metropolitan,,POINT,Meade,Kentucky
,M,Metropolitan,,POINT,Marion,Kentucky
,N,Non-Metropolitan,,POINT,Madison,Kentucky
,M,Metropolitan,,POINT,Cook,Illinois
,M,Metropolitan,,POINT,DeKalb,Georgia
,M,Metropolitan,,POINT,Arapahoe,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Denver,Colorado
,M,Metropolitan,,POINT,Arapahoe,Colorado
,0,Unknown,,POINT,Denver,Colorado
,0,Unknown,,POINT,Denver,Colorado
Not applicable,N,Non-Metropolitan,0.0,72127,San Juan,Puerto Rico
Not applicable,N,Non-Metropolitan,0.0,72113,Ponce,Puerto Rico
Not applicable,N,Non-Metropolitan,0.0,55141,Wood,Wisconsin
Not applicable,N,Non-Metropolitan,0.0,55097,Portage,Wisconsin
Not applicable,M,Metropolitan,9.1,55073,Marathon,Wisconsin
Not applicable,M,Metropolitan,3.2,55131,Washington,Wisconsin
Not applicable,N,Non-Metropolitan,,55071,Manitowoc,Wisconsin
Not applicable,M,Metropolitan,4.9,55015,Calumet,Wisconsin
Not applicable,N,Non-Metropolitan,16.8,54051,Marshall,West Virginia
Not applicable,N,Non-Metropolitan,16.8,54103,Wetzel,West Virginia
Not applicable,M,Metropolitan,0.0,54053,Mason,West Virginia
Not applicable,M,Metropolitan,0.0,54011,Cabell,West Virginia
Not applicable,M,Metropolitan,0.0,54043,Lincoln,West Virginia
Not applicable,M,Metropolitan,0.0,54099,Wayne,West Virginia
Not applicable,N,Non-Metropolitan,39.2,54015,Clay,West Virginia
Not applicable,N,Non-Metropolitan,27.0,54005,Boone,West Virginia
Not applicable,M,Metropolitan,,53067,Thurston,Washington
Not applicable,N,Non-Metropolitan,0.0,50017,Orange,Vermont
Not applicable,N,Non-Metropolitan,0.0,50027,Windsor,Vermont
Not applicable,M,Metropolitan,46.2,4814191220,El Paso,Texas
Not applicable,M,Metropolitan,20.9,4814191225,El Paso,Texas
Not applicable,M,Metropolitan,29.4,4814191215,El Paso,Texas
Not applicable,N,Non-Metropolitan,28.2,4814191230,El Paso,Texas
Not applicable,N,Non-Metropolitan,22.2,48041,Brazos,Texas
Not applicable,N,Non-Metropolitan,20.4,48013,Atascosa,Texas
Not applicable,N,Non-Metropolitan,18.0,48259,Kendall,Texas
Not applicable,N,Non-Metropolitan,14.3,48473,Waller,Texas
Not applicable,N,Non-Metropolitan,20.6,48209,Hays,Texas
Not applicable,N,Non-Metropolitan,11.2,48339,Montgomery,Texas
Not applicable,N,Non-Metropolitan,11.2,48471,Walker,Texas
Not applicable,N,Non-Metropolitan,11.2,48291,Liberty,Texas
Not applicable,N,Non-Metropolitan,15.5,48365,Panola,Texas
Not applicable,N,Non-Metropolitan,15.5,48203,Harrison,Texas
Not applicable,N,Non-Metropolitan,15.5,48183,Gregg,Texas
Not applicable,N,Non-Metropolitan,17.6,48351,Newton,Texas
Not applicable,N,Non-Metropolitan,17.6,48199,Hardin,Texas
Not applicable,N,Non-Metropolitan,17.6,48455,Trinity,Texas
Not applicable,N,Non-Metropolitan,17.6,48419,Shelby,Texas
Not applicable,N,Non-Metropolitan,17.6,48405,San Augustine,Texas
Not applicable,N,Non-Metropolitan,17.6,48403,Sabine,Texas
Not applicable,N,Non-Metropolitan,17.6,48347,Nacogdoches,Texas
Not applicable,N,Non-Metropolitan,,48297,Live Oak,Texas
Not applicable,N,Non-Metropolitan,,48007,Aransas,Texas
Not applicable,N,Non-Metropolitan,,48025,Bee,Texas
Not applicable,N,Non-Metropolitan,,48409,San Patricio,Texas
Not applicable,M,Metropolitan,35.3,48479,Webb,Texas
Not applicable,M,Metropolitan,35.3,48427,Starr,Texas
Not applicable,M,Metropolitan,34.8,48215,Hidalgo,Texas
Not applicable,M,Metropolitan,34.8,48061,Cameron,Texas
Not applicable,N,Non-Metropolitan,18.6,48189,Hale,Texas
Not applicable,N,Non-Metropolitan,18.6,48437,Swisher,Texas
Not applicable,N,Non-Metropolitan,18.6,48369,Parmer,Texas
Not applicable,N,Non-Metropolitan,18.6,48345,Motley,Texas
Not applicable,N,Non-Metropolitan,14.9,48459,Upshur,Texas
Not applicable,N,Non-Metropolitan,15.9,48423,Smith,Texas
Not applicable,N,Non-Metropolitan,,48339,Montgomery,Texas
Not applicable,N,Non-Metropolitan,,48055,Caldwell,Texas
Not applicable,M,Metropolitan,0.0,47149,Rutherford,Tennessee
Not applicable,M,Metropolitan,0.0,47187,Williamson,Tennessee
Not applicable,N,Non-Metropolitan,12.9,46103,Pennington,South Dakota
Not applicable,M,Metropolitan,20.5,4501593614,Berkeley,South Carolina
Not applicable,M,Metropolitan,20.5,4501592951,Berkeley,South Carolina
Not applicable,M,Metropolitan,20.5,4501592210,Berkeley,South Carolina
Not applicable,M,Metropolitan,20.5,4501590754,Berkeley,South Carolina
Not applicable,M,Metropolitan,20.5,4501590806,Berkeley,South Carolina
Not applicable,M,Metropolitan,20.5,4501590351,Berkeley,South Carolina
Not applicable,M,Metropolitan,15.1,4500390026,Aiken,South Carolina
Not applicable,M,Metropolitan,15.1,4501190143,Barnwell,South Carolina
Not applicable,M,Metropolitan,6.5,44007018400,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007018500,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007013002,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011200,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011301,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011302,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011401,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011402,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011403,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011500,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011600,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011701,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017900,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007018300,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007018200,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007018000,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007018100,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017800,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017700,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017600,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017500,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017400,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007017300,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007011702,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007012900,Providence,Rhode Island
Not applicable,M,Metropolitan,6.5,44007013001,Providence,Rhode Island
Not applicable,N,Non-Metropolitan,16.3,4206367648,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206372304,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206381256,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206363584,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206360320,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206350624,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206387160,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206384472,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206384184,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206321456,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206324040,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206330416,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206347472,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206330816,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206335408,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206336816,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206303032,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206303064,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206322048,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206313072,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206306752,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206306904,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206309624,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206314520,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206310104,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206317024,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206310352,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206312040,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206313120,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206315560,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206370040,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,16.3,4206361632,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206371256,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206329512,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206311120,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206304056,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206576744,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206504728,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206506344,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206528592,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206533816,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206545888,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206556712,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206355184,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206505200,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206383416,Indiana,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206559480,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206562176,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206562920,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206564960,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206586568,Jefferson,Pennsylvania
Not applicable,N,Non-Metropolitan,17.7,4206587168,Jefferson,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205148000,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205133896,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205127400,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205128792,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205128856,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205154392,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205124536,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205179344,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205178528,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205174080,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205169336,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205137872,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205184344,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205172080,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205173240,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205173064,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205110152,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205118360,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205109432,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205115776,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205124336,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205145144,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205120216,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205148616,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205153504,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205156408,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205159520,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205161864,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205167640,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205163904,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205171320,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205145560,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205159464,Fayette,Pennsylvania
Not applicable,M,Metropolitan,0.0,4205155464,Fayette,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011700,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101009600,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011800,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010900,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101009300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101009500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011900,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010600,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010700,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010800,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101012000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101010000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101009400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101012100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,46.0,42101011300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101009100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101009200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007700,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42029308200,Chester,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101008400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101008200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006700,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101009000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006600,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006900,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007900,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101005600,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101005400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101005500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101008000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007800,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101006300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101007300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101008500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101017400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101017300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101019700,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101019800,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101016500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101016600,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101016800,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101017100,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101015300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101016400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087961000,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087961100,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087961200,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101019900,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101017500,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960400,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960700,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960100,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960200,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960500,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960600,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960300,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960800,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42087960900,Mifflin,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101020300,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101020000,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101020200,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101020400,Philadelphia,Pennsylvania
Not applicable,M,Metropolitan,0.0,42101015200,Philadelphia,Pennsylvania
Not applicable,N,Non-Metropolitan,13.6,42103,Pike,Pennsylvania
Not applicable,M,Metropolitan,11.5,42081,Lycoming,Pennsylvania
Not applicable,N,Non-Metropolitan,,42035,Clinton,Pennsylvania
Not applicable,M,Metropolitan,18.2,42027,Centre,Pennsylvania
Not applicable,M,Metropolitan,6.9,41005,Clackamas,Oregon
Not applicable,M,Metropolitan,22.6,40107,Okfuskee,Oklahoma
Not applicable,M,Metropolitan,22.6,40037,Creek,Oklahoma
Not applicable,M,Metropolitan,22.6,40111,Okmulgee,Oklahoma
Not applicable,N,Non-Metropolitan,,39051,Fulton,Ohio
Not applicable,N,Non-Metropolitan,,39039,Defiance,Ohio
Not applicable,N,Non-Metropolitan,,39069,Henry,Ohio
Not applicable,N,Non-Metropolitan,,39171,Williams,Ohio
Not applicable,N,Non-Metropolitan,,39057,Greene,Ohio
Not applicable,N,Non-Metropolitan,,39023,Clark,Ohio
Not applicable,N,Non-Metropolitan,,39097,Madison,Ohio
Not applicable,M,Metropolitan,33.0,39035101400,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102300,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102402,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102101,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035101101,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035101200,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102102,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102401,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035101700,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035101800,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035102200,Cuyahoga,Ohio
Not applicable,M,Metropolitan,33.0,39035101300,Cuyahoga,Ohio
Not applicable,M,Metropolitan,0.0,39083,Knox,Ohio
Not applicable,M,Metropolitan,0.0,39089,Licking,Ohio
Not applicable,M,Metropolitan,0.0,3902504157,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902528224,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902537716,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902576155,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902551338,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902574825,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902581130,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902585302,Clermont,Ohio
Not applicable,M,Metropolitan,0.0,3902582110,Clermont,Ohio
Not applicable,N,Non-Metropolitan,0.0,39175,Wyandot,Ohio
Not applicable,N,Non-Metropolitan,0.0,39143,Sandusky,Ohio
Not applicable,N,Non-Metropolitan,0.0,39147,Seneca,Ohio
Not applicable,N,Non-Metropolitan,0.0,38105,Williams,North Dakota
Not applicable,M,Metropolitan,0.0,38035,Grand Forks,North Dakota
Not applicable,M,Metropolitan,0.0,37025,Cabarrus,North Carolina
Not applicable,N,Non-Metropolitan,,37173,Swain,North Carolina
Not applicable,N,Non-Metropolitan,,37043,Clay,North Carolina
Not applicable,N,Non-Metropolitan,,37099,Jackson,North Carolina
Not applicable,N,Non-Metropolitan,,37039,Cherokee,North Carolina
Not applicable,N,Non-Metropolitan,,37075,Graham,North Carolina
Not applicable,N,Non-Metropolitan,,37113,Macon,North Carolina
Not applicable,N,Non-Metropolitan,,37087,Haywood,North Carolina
Not applicable,N,Non-Metropolitan,0.0,37007,Anson,North Carolina
Not applicable,N,Non-Metropolitan,0.0,37123,Montgomery,North Carolina
Not applicable,N,Non-Metropolitan,0.0,37153,Richmond,North Carolina
Not applicable,N,Non-Metropolitan,0.0,37093,Hoke,North Carolina
Not applicable,N,Non-Metropolitan,0.0,37125,Moore,North Carolina
Not applicable,M,Metropolitan,22.0,37133,Onslow,North Carolina
Not applicable,N,Non-Metropolitan,30.0,37107,Lenoir,North Carolina
Not applicable,N,Non-Metropolitan,,37171,Surry,North Carolina
Not applicable,N,Non-Metropolitan,,37197,Yadkin,North Carolina
Not applicable,N,Non-Metropolitan,11.0,37167,Stanly,North Carolina
Not applicable,N,Non-Metropolitan,13.0,37145,Person,North Carolina
Not applicable,M,Metropolitan,14.5,36055015200,Monroe,New York
Not applicable,M,Metropolitan,14.5,36055015301,Monroe,New York
Not applicable,M,Metropolitan,14.5,36055015400,Monroe,New York
Not applicable,M,Metropolitan,14.5,36055009302,Monroe,New York
Not applicable,M,Metropolitan,10.0,36051,Livingston,New York
Not applicable,M,Metropolitan,,36037,Genesee,New York
Not applicable,N,Non-Metropolitan,14.4,36035,Fulton,New York
Not applicable,M,Metropolitan,16.8,35001003501,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003502,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003202,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003100,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001002900,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003001,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003002,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003600,Bernalillo,New Mexico
Not applicable,M,Metropolitan,16.8,35001003201,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004604,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004603,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001002401,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001002402,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001002300,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004001,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004300,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004502,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004602,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004401,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004402,Bernalillo,New Mexico
Not applicable,M,Metropolitan,24.4,35001004501,Bernalillo,New Mexico
Not applicable,M,Metropolitan,17.8,34013011300,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013011400,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010900,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013011100,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013011200,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013011700,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013011800,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010100,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010300,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010400,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010800,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010700,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010500,Essex,New Jersey
Not applicable,M,Metropolitan,17.8,34013010600,Essex,New Jersey
