,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
2382346,sg:3c3a0ae4591345f3a42285af03d85cd1,America's Stonehenge,NH,3079,712120.0,4,101.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":3,"">240"":0}",42.842824,-71.207211,NH,33.0,33015.0,Rockingham County,330151001001.0
2382769,sg:4bc071d5db0049a79992b95bdd4b7b66,H&R Block,NH,3102,541213.0,2,403.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":2}",42.969165999999994,-71.479802,NH,33.0,33011.0,Hillsborough County,330110023001.0
2382821,sg:4d45c714c59749a7a4dd71d6df995050,Edward Jones,NH,3104,523999.0,2,57.5,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":1,"">240"":0}",43.006912,-71.46154399999999,NH,33.0,33011.0,Hillsborough County,330110001011.0
2383129,sg:583f935ae15f4e4eacb6bb78b9207cfc,Hilltop Cafe,NH,3086,722515.0,12,43.0,"{""<5"":0,""5-20"":4,""21-60"":3,""61-240"":2,"">240"":3}",42.814601,-71.73925200000001,NH,33.0,33011.0,Hillsborough County,330110190002.0
2383217,sg:5b307b867db54878a84dfe9947889749,McDonald's,NH,3038,722513.0,135,7.0,"{""<5"":10,""5-20"":119,""21-60"":4,""61-240"":2,"">240"":0}",42.890640000000005,-71.326651,NH,33.0,33015.0,Rockingham County,330150034003.0
2383696,sg:6bb8ae186ce5489c99dd28e6c16b60bc,Hampshire Pediatrics,NH,3109,621111.0,16,391.0,"{""<5"":0,""5-20"":2,""21-60"":3,""61-240"":2,"">240"":9}",42.977392,-71.429221,NH,33.0,33011.0,Hillsborough County,330110011004.0
2383752,sg:6d7c885d494b4d9d968a86333d830063,Ikko Japanese Steakhouse,NH,3820,722511.0,2,36.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",43.219575,-70.881763,NH,33.0,33017.0,Strafford County,330170815002.0
2383823,sg:6fecafe924634dfc996bcd616e81033e,Noodz,NH,3101,722511.0,1,4.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":0}",42.991812,-71.463459,NH,33.0,33011.0,Hillsborough County,330112004002.0
2384396,sg:83952e82890944b1b88a59df6fb8e328,Currier Kitchens,NH,3063,442299.0,4,11.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":0,"">240"":0}",42.802712,-71.542214,NH,33.0,33011.0,Hillsborough County,330110102001.0
2384858,sg:953aa6f5cd7f4c9ea79b71e5603cc91f,Frekey's Dairy Freeze Concord,NH,3303,722515.0,47,18.0,"{""<5"":2,""5-20"":24,""21-60"":6,""61-240"":6,"">240"":9}",43.255596000000004,-71.57697900000001,NH,33.0,33013.0,Merrimack County,330130327061.0
2385432,sg:aa8ece7e7ad8437397ec03a4b9c687dc,Key Heating & Air Conditioning,NH,3894,444130.0,4,6.5,"{""<5"":1,""5-20"":3,""21-60"":0,""61-240"":0,"">240"":0}",43.584696,-71.207734,NH,33.0,33003.0,Carroll County,330039561002.0
2385544,sg:af5b2c2b16bd48c2b5c120c7beca676b,Southern New Hampshire Medical Center,NH,3051,621111.0,4,82.5,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":2,"">240"":1}",42.769249,-71.426957,NH,33.0,33011.0,Hillsborough County,330110122001.0
2385614,sg:b1ca81ed60884d7680b813ec6b3b481a,Community Market & Deli,NH,3849,445120.0,21,10.0,"{""<5"":1,""5-20"":18,""21-60"":1,""61-240"":1,"">240"":0}",43.939240999999996,-71.149597,NH,33.0,33003.0,Carroll County,330039555002.0
2385993,sg:bf8866dfa8f54cd7a794108c6f5b6100,Nicholas C Rizos DMD,NH,3110,621210.0,9,525.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":8}",42.962113,-71.478353,NH,33.0,33011.0,Hillsborough County,330110029022.0
2386233,sg:c8aaada56284471ab197b5e980772a22,Adventures In Learning,NH,3301,624410.0,18,417.5,"{""<5"":0,""5-20"":3,""21-60"":3,""61-240"":2,"">240"":10}",43.214912,-71.55091800000001,NH,33.0,33013.0,Merrimack County,330130326002.0
2386439,sg:d0e109c8f9ec49308882053e81ea43b2,Northeast Property Tax Consultants,NH,3051,541213.0,12,853.0,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":3,"">240"":7}",42.780767,-71.400014,NH,33.0,33011.0,Hillsborough County,330110121001.0
