geo_id,do_date,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_pop,population_1_year_and_over,population_3_years_over,pop_5_years_over,pop_15_and_over,pop_16_over,pop_25_years_over,pop_25_64,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,not_us_citizen_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,hispanic_any_race,not_hispanic_pop,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english
09015,2014-01-01,116538.0,44449.0,57560.0,58978.0,41.3,2988.0,3338.0,3473.0,2328.0,1912.0,941.0,1050.0,2230.0,3695.0,3574.0,3235.0,3753.0,3994.0,4434.0,4648.0,1362.0,1595.0,2160.0,1250.0,861.0,854.0,2824.0,3189.0,3254.0,2125.0,1967.0,1091.0,825.0,2018.0,3548.0,3683.0,3366.0,3605.0,4029.0,4521.0,4480.0,1978.0,2300.0,1521.0,1564.0,2568.0,1485.0,1342.0,1695.0,96795.0,115799.0,113365.0,,,96042.0,80985.0,62728.0,,,,,,3012.0,2084.0,1552.0,13368.0,66.0,95.0,2555.0,13368.0,103170.0,97.0,78.0,89.0,318.0,679.0,448.0,7410.0,7696.0,64774.0,31106.0,2589.0,1802.0,2017.0,1846.0,1775.0,1670.0,1731.0,1893.0,1511.0,3733.0,4962.0,6479.0,4684.0,2933.0,2943.0,1881.0,111235.0,11691.0,0.4151,49644.0,895.0,154100.0,198000.0,271600.0,44449.0,13489.0,5195.0,667.0,570.0,32752.0,1835.0,4275.0,3899.0,3284.0,838.0,613.0,683.0,1449.0,111.0,527.0,2527.0,1968.0,21254.0,15006.0,29443.0,7133.0,72.0,79.0,23519.0,5805.0,734.0,30.9,769.0,2994.0,1173.0,848.0,1660.0,1601.0,1501.0,1322.0,949.0,672.0,30960.0,66.0,21271.0,12511.0,1849.0,6773.0,4169.0,2829.0,1022.0,266.0,52.0,2604.0,662.0,601.0,6867.0,8472.0,7695.0,7761.0,3327.0,5988.0,3979.0,4619.0,5826.0,54534.0,1558.0,2406.0,1255.0,3160.0,13423.0,16872.0,7541.0,3453.0,1443600.0,304.0,273.0,52064.0,4793.0,18.0,47271.0,5374.0,7701.0,12062.0,22364.0,6657.0,5893.0,11176.0,9192.0,26705.0,12062.0,15206.0,7492.0,25534.0,1303.0,1871.0,1030.0,587.0,1557.0,6801.0,3812.0,16961.0,59404.0,3983.0,63545.0,32497.0,56940.0,158.0,63387.0,836.0,6333.0,3950.0,16511.0,2483.0,1042.0,7959.0,2362.0,2119.0,7470.0,4216.0,2590.0,1533.0,19987.0,6048.0,8364.0,13174.0,11831.0,19987.0,13174.0,5126.0,5495.0,5438.0,29197.0,8788.0,,,
09001,2014-01-01,944348.0,340491.0,459963.0,484385.0,40.3,26813.0,29873.0,33318.0,20736.0,13341.0,5500.0,5758.0,19212.0,26611.0,27523.0,28551.0,29580.0,33750.0,35841.0,33507.0,9039.0,11765.0,15381.0,10802.0,7332.0,7391.0,25761.0,29516.0,31164.0,19726.0,12987.0,5305.0,5737.0,17811.0,25640.0,28013.0,29554.0,31396.0,35938.0,38420.0,35756.0,13371.0,16581.0,9898.0,13209.0,19007.0,13993.0,11086.0,14516.0,588974.0,934145.0,913694.0,,,754186.0,641790.0,498371.0,,,,,,108778.0,99412.0,49375.0,182653.0,1257.0,5416.0,16952.0,182653.0,761695.0,3375.0,2141.0,6457.0,5478.0,12104.0,7112.0,46701.0,46465.0,92969.0,55613.0,15499.0,9883.0,10374.0,11274.0,10997.0,10046.0,10105.0,10775.0,10254.0,19545.0,24914.0,36687.0,30900.0,24793.0,33599.0,70846.0,926505.0,81751.0,0.5432,370999.0,1470.0,276300.0,422300.0,726200.0,340491.0,111322.0,30508.0,6670.0,4349.0,213269.0,24533.0,31916.0,29917.0,16971.0,13163.0,13121.0,26735.0,1310.0,4071.0,7425.0,28198.0,1964.0,181927.0,103276.0,237215.0,32035.0,438.0,341.0,216907.0,42561.0,1269.0,32.9,6071.0,31542.0,10089.0,6979.0,9455.0,11064.0,12366.0,11301.0,7391.0,5064.0,229169.0,14713.0,161030.0,64247.0,35978.0,61559.0,45433.0,27432.0,16416.0,1122.0,463.0,16126.0,3702.0,3597.0,47867.0,63181.0,68677.0,58066.0,21412.0,50396.0,24912.0,71185.0,32577.0,438273.0,11789.0,28010.0,15929.0,26098.0,104000.0,133030.0,54130.0,23233.0,1.345E7,46650.0,11462.0,374632.0,37626.0,1148.0,337006.0,18125.0,39621.0,169677.0,125015.0,27273.0,98838.0,67087.0,64890.0,139001.0,169677.0,247884.0,134241.0,133981.0,7255.0,34495.0,30139.0,5738.0,5775.0,29189.0,18846.0,131437.0,475513.0,35545.0,511280.0,242906.0,466283.0,222.0,511058.0,1328.0,39472.0,31378.0,109129.0,56801.0,13347.0,37834.0,23870.0,11603.0,48231.0,73725.0,16784.0,12011.0,216037.0,34582.0,37029.0,102998.0,84867.0,216037.0,102998.0,48139.0,52073.0,57699.0,252202.0,51074.0,,,
09011,2014-01-01,268881.0,107402.0,134703.0,134178.0,41.4,6944.0,7071.0,8122.0,5082.0,3895.0,2351.0,2603.0,6821.0,9917.0,8474.0,7394.0,7476.0,8561.0,10020.0,9823.0,3102.0,4113.0,5494.0,3822.0,2105.0,2120.0,6525.0,6742.0,7867.0,4856.0,3310.0,1688.0,1811.0,4972.0,8159.0,8093.0,7815.0,7372.0,9185.0,10348.0,10408.0,4124.0,5339.0,3489.0,4193.0,6144.0,4544.0,3329.0,3865.0,204185.0,266544.0,261405.0,,,221822.0,188221.0,141901.0,,,,,,9692.0,14219.0,10972.0,27762.0,1294.0,380.0,9995.0,27762.0,241119.0,812.0,682.0,1104.0,879.0,1345.0,888.0,14895.0,16353.0,71368.0,38109.0,5274.0,4114.0,3756.0,4246.0,3893.0,3599.0,4354.0,3851.0,3295.0,9171.0,10766.0,14549.0,11187.0,7857.0,9418.0,8072.0,256892.0,26140.0,0.4439,123001.0,1099.0,168900.0,239000.0,341300.0,107402.0,35943.0,15599.0,1932.0,1877.0,79656.0,5034.0,9989.0,8403.0,6052.0,3733.0,3126.0,3792.0,3149.0,765.0,1328.0,6211.0,1967.0,50788.0,38096.0,69306.0,13520.0,126.0,52.0,53209.0,14439.0,931.0,29.5,2172.0,7724.0,3120.0,1938.0,3649.0,4455.0,4631.0,4364.0,2814.0,1076.0,71459.0,600.0,47405.0,31266.0,6566.0,15658.0,10027.0,6439.0,3250.0,300.0,38.0,5631.0,1410.0,1341.0,17947.0,21816.0,21838.0,22362.0,9114.0,14223.0,7432.0,8693.0,7112.0,130537.0,4614.0,6892.0,2816.0,6618.0,35419.0,41971.0,16254.0,7140.0,3066715.0,2054.0,1561.0,122169.0,12528.0,52.0,109641.0,12339.0,16354.0,34426.0,48430.0,12336.0,21179.0,25516.0,15250.0,56020.0,34426.0,47852.0,28319.0,54206.0,3147.0,6217.0,6026.0,882.0,2142.0,12122.0,7261.0,37797.0,133036.0,8740.0,148769.0,73053.0,137429.0,6993.0,141776.0,1009.0,19855.0,7352.0,32336.0,6140.0,2006.0,17293.0,5071.0,7089.0,15039.0,11731.0,5795.0,2320.0,53550.0,10427.0,14102.0,25756.0,29201.0,53550.0,25756.0,11190.0,12714.0,13631.0,61472.0,13821.0,,,
09013,2014-01-01,151269.0,55232.0,75821.0,75448.0,37.5,3215.0,3579.0,4282.0,2802.0,4703.0,2769.0,2555.0,4407.0,4317.0,4209.0,4060.0,3933.0,4806.0,5543.0,5453.0,1707.0,2041.0,2671.0,1808.0,1154.0,953.0,2917.0,3569.0,3900.0,2741.0,4698.0,3018.0,2973.0,3271.0,3824.0,3746.0,3848.0,3693.0,5075.0,5587.0,5399.0,2036.0,3082.0,1942.0,1905.0,2867.0,2286.0,1530.0,1541.0,128603.0,150117.0,147681.0,,,128117.0,95870.0,73465.0,,,,,,4938.0,4299.0,7013.0,8086.0,59.0,298.0,2911.0,8086.0,143183.0,285.0,238.0,353.0,223.0,390.0,217.0,9226.0,9603.0,84916.0,39668.0,2128.0,1656.0,1422.0,2009.0,1756.0,1553.0,2057.0,2090.0,1518.0,3469.0,4664.0,7950.0,6184.0,4976.0,6041.0,5759.0,135909.0,9390.0,0.4315,59418.0,1119.0,183900.0,251300.0,341500.0,55232.0,15434.0,4186.0,809.0,599.0,41234.0,2243.0,2224.0,4412.0,3756.0,2170.0,1185.0,1468.0,715.0,628.0,1444.0,2456.0,1974.0,28929.0,19768.0,35464.0,4144.0,24.0,136.0,27005.0,4999.0,952.0,30.4,768.0,3712.0,1395.0,1054.0,1268.0,1731.0,2066.0,1968.0,983.0,489.0,39798.0,153.0,26931.0,18606.0,1522.0,7421.0,5653.0,4069.0,1416.0,109.0,59.0,1768.0,355.0,297.0,8729.0,8766.0,8783.0,9854.0,6427.0,11851.0,7767.0,4426.0,6380.0,72983.0,3567.0,4525.0,1353.0,2484.0,15814.0,22453.0,9698.0,4783.0,1931570.0,1501.0,1442.0,67085.0,5129.0,18.0,61956.0,15537.0,8215.0,22565.0,22660.0,5954.0,12941.0,10642.0,5215.0,26390.0,22565.0,31908.0,16889.0,24811.0,1464.0,4254.0,3363.0,304.0,883.0,6778.0,3610.0,20656.0,80396.0,4453.0,85017.0,43100.0,77508.0,168.0,84849.0,675.0,7331.0,5001.0,22985.0,7189.0,1450.0,8943.0,3127.0,3200.0,7850.0,7940.0,2805.0,1900.0,35758.0,6725.0,8082.0,16348.0,13483.0,35758.0,16348.0,5473.0,6620.0,7425.0,47772.0,21949.0,,,
09007,2014-01-01,163368.0,66892.0,79676.0,83692.0,45.4,3477.0,4140.0,4569.0,3212.0,2187.0,1156.0,1024.0,3067.0,4553.0,4469.0,4169.0,4812.0,5894.0,6532.0,7031.0,1931.0,3097.0,3335.0,2346.0,1472.0,1492.0,3394.0,3555.0,4745.0,3003.0,2033.0,1266.0,1198.0,2550.0,4232.0,4688.0,4324.0,4884.0,6138.0,6941.0,7230.0,2773.0,3359.0,2022.0,3125.0,4270.0,2482.0,2297.0,3183.0,137696.0,161754.0,159108.0,,,137404.0,118792.0,87740.0,,,,,,5295.0,8050.0,4956.0,9835.0,118.0,140.0,2573.0,9835.0,153533.0,334.0,295.0,630.0,515.0,598.0,300.0,10804.0,11573.0,84761.0,45293.0,2485.0,2022.0,2098.0,2378.0,2136.0,2049.0,1832.0,2488.0,2140.0,4054.0,5989.0,8844.0,7514.0,5679.0,7617.0,7567.0,157983.0,10909.0,0.4427,76124.0,1162.0,208200.0,284900.0,386100.0,66892.0,17630.0,9232.0,1386.0,1117.0,53639.0,3003.0,4753.0,3139.0,3948.0,2594.0,1795.0,2430.0,823.0,443.0,816.0,3701.0,1971.0,34251.0,24051.0,42841.0,5730.0,104.0,47.0,30095.0,5841.0,1018.0,30.3,1485.0,3671.0,1454.0,1171.0,1880.0,2029.0,1867.0,2162.0,1405.0,506.0,49262.0,411.0,34585.0,13898.0,3131.0,8146.0,6120.0,4657.0,1362.0,68.0,33.0,2026.0,547.0,421.0,11709.0,9782.0,10279.0,10854.0,6862.0,11329.0,8069.0,5311.0,7805.0,82000.0,2294.0,5502.0,1624.0,3637.0,20105.0,26451.0,11228.0,5471.0,2166645.0,1200.0,691.0,77434.0,6023.0,49.0,71411.0,6000.0,11228.0,27004.0,28010.0,6856.0,16375.0,13465.0,6918.0,30998.0,27004.0,38629.0,22323.0,31549.0,2043.0,5779.0,4129.0,497.0,1080.0,7476.0,4164.0,25168.0,89022.0,4384.0,93564.0,43840.0,87502.0,158.0,93406.0,459.0,6514.0,5706.0,23749.0,8199.0,2048.0,10117.0,4536.0,3559.0,8693.0,9555.0,3541.0,2346.0,40692.0,7160.0,7746.0,20020.0,13404.0,40692.0,20020.0,6161.0,7755.0,8221.0,38123.0,10334.0,,,
09005,2014-01-01,183031.0,73987.0,90447.0,92584.0,47.2,3854.0,5071.0,5112.0,3753.0,2105.0,963.0,885.0,3324.0,4765.0,4573.0,5016.0,4661.0,6647.0,7686.0,8019.0,2348.0,3714.0,4277.0,2439.0,1798.0,1991.0,3702.0,4405.0,5063.0,3434.0,1710.0,911.0,774.0,3213.0,4291.0,4605.0,4761.0,5052.0,6985.0,7929.0,8296.0,3310.0,4254.0,2508.0,3651.0,4746.0,3348.0,2239.0,3397.0,162898.0,181569.0,178538.0,,,153270.0,134752.0,98296.0,,,,,,6499.0,2863.0,3361.0,10941.0,305.0,179.0,2478.0,10941.0,172090.0,236.0,166.0,307.0,259.0,637.0,418.0,12969.0,14468.0,78314.0,42443.0,2391.0,2196.0,2511.0,2668.0,2961.0,2247.0,2765.0,2629.0,2767.0,4738.0,7673.0,10454.0,8226.0,6462.0,6741.0,6558.0,180907.0,12650.0,0.4479,88153.0,1036.0,168600.0,251500.0,369400.0,73987.0,16908.0,14166.0,1047.0,1074.0,64746.0,3212.0,6683.0,5298.0,3374.0,2066.0,1179.0,1246.0,294.0,301.0,728.0,5170.0,1967.0,39007.0,25143.0,48844.0,6432.0,89.0,92.0,34394.0,5680.0,855.0,29.5,1263.0,3692.0,1406.0,1214.0,1307.0,2089.0,2207.0,1686.0,1446.0,598.0,57079.0,644.0,38028.0,12640.0,4076.0,9057.0,7044.0,4907.0,1855.0,221.0,61.0,2013.0,463.0,463.0,13009.0,12644.0,10748.0,12167.0,5918.0,9934.0,7215.0,9640.0,8867.0,90142.0,2147.0,5240.0,1965.0,3942.0,21840.0,29268.0,12574.0,6363.0,2505570.0,1224.0,427.0,85793.0,5796.0,370.0,79997.0,3073.0,12810.0,27363.0,35064.0,8430.0,15249.0,16287.0,9986.0,39969.0,27363.0,35641.0,19907.0,37527.0,2649.0,5587.0,3776.0,580.0,1751.0,10304.0,5151.0,29798.0,97390.0,5379.0,102813.0,50457.0,95382.0,44.0,102769.0,999.0,7164.0,7127.0,24943.0,6722.0,2434.0,12721.0,5103.0,3598.0,11478.0,9468.0,3558.0,2075.0,40303.0,9329.0,11161.0,20553.0,16044.0,40303.0,20553.0,7749.0,8306.0,9602.0,39134.0,7738.0,,,
09009,2014-01-01,859339.0,329857.0,414311.0,445028.0,40.1,23018.0,23380.0,27080.0,17015.0,13040.0,6068.0,6068.0,18185.0,29186.0,27368.0,24424.0,24446.0,27901.0,30372.0,29207.0,8818.0,11976.0,15328.0,10543.0,6451.0,7372.0,21729.0,23541.0,25034.0,16128.0,13244.0,6770.0,5570.0,17617.0,28870.0,28266.0,26468.0,25982.0,30023.0,32487.0,31626.0,12552.0,17198.0,9720.0,14776.0,18419.0,13254.0,10497.0,15257.0,546120.0,851227.0,833442.0,,,705188.0,595852.0,453441.0,,,,,,51576.0,106325.0,33850.0,151361.0,823.0,2240.0,18456.0,151361.0,707978.0,2297.0,1524.0,7280.0,5396.0,8203.0,4968.0,39862.0,44037.0,67128.0,36678.0,20254.0,13956.0,12917.0,14198.0,12437.0,13842.0,12892.0,12793.0,12828.0,23761.0,31204.0,39943.0,30535.0,23431.0,27311.0,27555.0,832858.0,98855.0,0.4688,366266.0,1133.0,167200.0,246700.0,358500.0,329857.0,125562.0,36409.0,10503.0,3571.0,196323.0,18258.0,35062.0,39828.0,22758.0,15651.0,15624.0,20771.0,1930.0,1885.0,3507.0,26113.0,1962.0,144460.0,125053.0,204804.0,53052.0,460.0,672.0,176925.0,53550.0,952.0,32.0,8834.0,32898.0,11431.0,7808.0,10224.0,14755.0,14309.0,12935.0,8294.0,4074.0,204295.0,1232.0,137643.0,64325.0,31100.0,52175.0,32555.0,22096.0,8852.0,1034.0,573.0,19620.0,4332.0,3862.0,46789.0,60826.0,66391.0,64859.0,27338.0,52438.0,26669.0,30136.0,25950.0,401396.0,15052.0,19041.0,18182.0,38419.0,116048.0,114642.0,42447.0,18301.0,1.0163605E7,17343.0,12451.0,363156.0,34722.0,392.0,328434.0,28719.0,44029.0,111839.0,163913.0,29866.0,65356.0,70889.0,59205.0,183897.0,111839.0,168149.0,96127.0,144784.0,7669.0,21149.0,15967.0,3104.0,7185.0,39551.0,19920.0,114545.0,427791.0,32064.0,460161.0,245027.0,420437.0,306.0,459855.0,1014.0,32473.0,24677.0,132473.0,27621.0,9017.0,47064.0,19174.0,16341.0,46099.0,41798.0,18134.0,11906.0,179998.0,30816.0,48597.0,93672.0,74708.0,179998.0,93672.0,38305.0,41432.0,46855.0,216972.0,52382.0,,,
09003,2014-01-01,894730.0,349064.0,434650.0,460080.0,40.4,24459.0,25469.0,29208.0,18181.0,12050.0,5901.0,5741.0,18515.0,29988.0,29355.0,26467.0,27112.0,29221.0,32006.0,31686.0,9090.0,12319.0,15390.0,10534.0,7432.0,7652.0,23363.0,24568.0,27944.0,17379.0,11499.0,5853.0,5296.0,16858.0,28383.0,29230.0,27100.0,28714.0,31041.0,34283.0,33601.0,12283.0,17842.0,9913.0,14638.0,19266.0,13941.0,11177.0,15908.0,553425.0,885634.0,866664.0,,,728562.0,622446.0,475186.0,,,,,,61028.0,114565.0,46327.0,157785.0,1398.0,2673.0,18381.0,157785.0,736945.0,2991.0,1802.0,8021.0,6220.0,8494.0,5554.0,41157.0,44452.0,72321.0,39260.0,20090.0,13265.0,13292.0,13763.0,13479.0,13125.0,13382.0,13784.0,11779.0,22939.0,30474.0,45340.0,34625.0,25553.0,30002.0,34172.0,872612.0,97063.0,0.4716,378700.0,1076.0,168400.0,237700.0,336700.0,349064.0,123952.0,29636.0,8875.0,3651.0,210989.0,22566.0,29006.0,36052.0,23878.0,16938.0,15737.0,21367.0,2064.0,2047.0,3406.0,30018.0,1963.0,159748.0,124041.0,225023.0,55381.0,452.0,610.0,190571.0,55443.0,916.0,30.3,7511.0,31158.0,10262.0,7111.0,10252.0,13850.0,14276.0,15071.0,9740.0,4721.0,225112.0,790.0,154227.0,70559.0,30084.0,54998.0,35550.0,24753.0,9602.0,863.0,332.0,19448.0,3751.0,3384.0,48727.0,64930.0,72622.0,75415.0,32190.0,57013.0,26408.0,20056.0,22861.0,420222.0,8504.0,18950.0,16117.0,36883.0,120285.0,128768.0,44897.0,18231.0,9776200.0,14071.0,13481.0,393119.0,36910.0,179.0,356209.0,25675.0,50911.0,133988.0,145702.0,32250.0,73920.0,71583.0,65170.0,167539.0,133988.0,191584.0,101005.0,154744.0,8562.0,25198.0,18830.0,4612.0,7417.0,35578.0,19590.0,119787.0,447893.0,31361.0,479694.0,248868.0,439172.0,440.0,479254.0,875.0,31710.0,22140.0,117551.0,49452.0,10495.0,49064.0,20443.0,19663.0,47079.0,49199.0,19599.0,10623.0,195810.0,27427.0,51763.0,98896.0,73997.0,195810.0,98896.0,41611.0,45608.0,48678.0,221673.0,49556.0,,,
