,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
7439,sg:033a1a5376c04e40965bf2c288f91325,Cranston Parkade,RI,2920,531120.0,313,21.0,"{""<5"":10,""5-20"":137,""21-60"":120,""61-240"":20,"">240"":26}",41.794488,-71.444725,RI,44.0,44007.0,Providence County,440070141004.0
7472,sg:04335a2471c44935b07f5857b11a0627,Rumford Field,RI,2916,713940.0,74,57.5,"{""<5"":1,""5-20"":19,""21-60"":19,""61-240"":17,"">240"":18}",41.848534,-71.345827,RI,44.0,44007.0,Providence County,440070101022.0
7537,sg:065447ebb5914a3f9771460eda636654,Elizabeth Baldwin School,RI,2860,611110.0,64,120.0,"{""<5"":2,""5-20"":19,""21-60"":4,""61-240"":12,"">240"":27}",41.868140999999994,-71.396265,RI,44.0,44007.0,Providence County,440070164001.0
8191,sg:1b6d9a6edaee411aad453c613a5105bc,Bullet Liners,RI,2919,811111.0,5,35.0,"{""<5"":1,""5-20"":1,""21-60"":2,""61-240"":0,"">240"":1}",41.802182,-71.530248,RI,44.0,44007.0,Providence County,440070122003.0
8242,sg:1d09c36b663c4e68a804dfcfb70f1ec5,Taco Bell,RI,2910,722513.0,96,7.0,"{""<5"":3,""5-20"":74,""21-60"":4,""61-240"":3,"">240"":12}",41.771862,-71.452249,RI,44.0,44007.0,Providence County,440070138005.0
8483,sg:24a68562383642ac8f613b6954c6cf93,Betty's Pub & Chinese Restaurant,RI,2920,722511.0,11,21.0,"{""<5"":0,""5-20"":5,""21-60"":3,""61-240"":0,"">240"":3}",41.789884,-71.452749,RI,44.0,44007.0,Providence County,440070147003.0
8519,sg:25b2117e55134fe4a123decdb33e5fe2,Dunkin',RI,2865,722515.0,76,24.0,"{""<5"":0,""5-20"":30,""21-60"":44,""61-240"":0,"">240"":2}",41.889907,-71.44636700000001,RI,44.0,44007.0,Providence County,440070116002.0
8699,sg:2b8b03d147f4424aa6c9052bc1f4a2a2,J & K Peckham Marble Polishing,RI,2871,561740.0,3,101.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":2,"">240"":0}",41.623381,-71.22847900000001,RI,44.0,44005.0,Newport County,440050401011.0
8714,sg:2c01d7c857104611a666b93f215cf3f8,Veazie Street School,RI,2904,611110.0,8,340.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":6}",41.850878,-71.433992,RI,44.0,44007.0,Providence County,440070028002.0
8794,sg:2eb120b02b524c1090d3c06cfe48f76f,Eddie's Barber Salon,RI,2916,812112.0,3,10.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",41.832173,-71.36080600000001,RI,44.0,44007.0,Providence County,440070103001.0
9033,sg:37518eca1fbd49848f88b0ebcfbd2188,Half Sour Delicatessen,RI,2903,722511.0,10,31.5,"{""<5"":0,""5-20"":4,""21-60"":3,""61-240"":3,"">240"":0}",41.824164,-71.409999,RI,44.0,44007.0,Providence County,440070008003.0
9207,sg:3c7eda532a644020b9970424d3d0d5a0,Burrillville Middle School,RI,2830,611110.0,15,20.0,"{""<5"":0,""5-20"":8,""21-60"":5,""61-240"":2,"">240"":0}",41.981953000000004,-71.622108,RI,44.0,44007.0,Providence County,440070130021.0
9496,sg:467981c3cc654cb0b73c382b8033f73f,Broad Street Auto Sales,RI,2907,441120.0,7,20.0,"{""<5"":0,""5-20"":4,""21-60"":1,""61-240"":1,"">240"":1}",41.809895000000004,-71.420707,RI,44.0,44007.0,Providence County,440070004001.0
9764,sg:4f46697ca3d14205a1c86066d8a7751c,Edible Arrangements,RI,2895,453220.0,7,7.0,"{""<5"":3,""5-20"":3,""21-60"":0,""61-240"":1,"">240"":0}",41.985144,-71.515026,RI,44.0,44007.0,Providence County,440070177003.0
10210,sg:5f9dd9da2f0040ffaca74d520aaa5e25,Aquidneck Shopping Center,RI,2842,531120.0,405,17.0,"{""<5"":15,""5-20"":227,""21-60"":115,""61-240"":26,"">240"":22}",41.516646,-71.297513,RI,44.0,44005.0,Newport County,440050403021.0
10388,sg:65eaeecb837b4ae0abd3edd1da57c901,Livi's Pockets,RI,2903,722511.0,2,15.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",41.823980999999996,-71.410527,RI,44.0,44007.0,Providence County,440070008003.0
10437,sg:677e64d6fc0842728e78504f6a540f56,Nueva San Salvadore Bakery,RI,2908,311811.0,6,14.5,"{""<5"":0,""5-20"":4,""21-60"":2,""61-240"":0,"">240"":0}",41.832656,-71.443588,RI,44.0,44007.0,Providence County,440070023003.0
10654,sg:6ed3de723f83417b92419666846b187b,Bank of America,RI,2886,522110.0,15,6.0,"{""<5"":2,""5-20"":13,""21-60"":0,""61-240"":0,"">240"":0}",41.714006,-71.487877,RI,44.0,44003.0,Kent County,440030221003.0
11096,sg:7f2417024ec14382936298d7d4b7daf6,GolfTec,RI,2920,713910.0,1,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.751774,-71.44663800000001,RI,44.0,44007.0,Providence County,440070139003.0
11215,sg:83022aaff26c48e3a664efc062834053,Dr Day Care South County,RI,2879,624410.0,9,30.0,"{""<5"":0,""5-20"":2,""21-60"":5,""61-240"":1,"">240"":1}",41.436961,-71.50343000000001,RI,44.0,44009.0,Washington County,440090512023.0
